regular_NOCs, PD
Init: players
Step:0
players[429]: Index: 429; Strategy: True; AccPayOffs: 6
players[430]: Index: 430; Strategy: False; AccPayOffs: 4
players[431]: Index: 431; Strategy: False; AccPayOffs: 4
players[432]: Index: 432; Strategy: False; AccPayOffs: 2
players[433]: Index: 433; Strategy: True; AccPayOffs: 2
players[434]: Index: 434; Strategy: True; AccPayOffs: 2
players[435]: Index: 435; Strategy: False; AccPayOffs: 2
players[436]: Index: 436; Strategy: True; AccPayOffs: 2
players[437]: Index: 437; Strategy: False; AccPayOffs: 2
players[438]: Index: 438; Strategy: False; AccPayOffs: 0
players[439]: Index: 439; Strategy: True; AccPayOffs: 2
players[440]: Index: 440; Strategy: True; AccPayOffs: 4
players[441]: Index: 441; Strategy: True; AccPayOffs: 3
players[442]: Index: 442; Strategy: True; AccPayOffs: 3
players[443]: Index: 443; Strategy: True; AccPayOffs: 6
players[444]: Index: 444; Strategy: True; AccPayOffs: 2
players[445]: Index: 445; Strategy: True; AccPayOffs: 6
players[446]: Index: 446; Strategy: True; AccPayOffs: 4
players[447]: Index: 447; Strategy: True; AccPayOffs: 2
players[448]: Index: 448; Strategy: True; AccPayOffs: 2
players[449]: Index: 449; Strategy: True; AccPayOffs: 4
players[450]: Index: 450; Strategy: True; AccPayOffs: 6
players[451]: Index: 451; Strategy: True; AccPayOffs: 4
players[452]: Index: 452; Strategy: True; AccPayOffs: 2
players[453]: Index: 453; Strategy: True; AccPayOffs: 4
players[454]: Index: 454; Strategy: True; AccPayOffs: 1
players[455]: Index: 455; Strategy: True; AccPayOffs: 3
players[456]: Index: 456; Strategy: True; AccPayOffs: 2
players[457]: Index: 457; Strategy: True; AccPayOffs: 2
players[458]: Index: 458; Strategy: True; AccPayOffs: 2
players[459]: Index: 459; Strategy: False; AccPayOffs: 0
players[460]: Index: 460; Strategy: True; AccPayOffs: 2
players[461]: Index: 461; Strategy: True; AccPayOffs: 4
players[462]: Index: 462; Strategy: True; AccPayOffs: 3
players[463]: Index: 463; Strategy: False; AccPayOffs: 2
players[464]: Index: 464; Strategy: True; AccPayOffs: 2
players[465]: Index: 465; Strategy: True; AccPayOffs: 8
players[466]: Index: 466; Strategy: False; AccPayOffs: 4
players[467]: Index: 467; Strategy: True; AccPayOffs: 2
players[468]: Index: 468; Strategy: True; AccPayOffs: 6
players[469]: Index: 469; Strategy: True; AccPayOffs: 4
players[470]: Index: 470; Strategy: True; AccPayOffs: 2
players[471]: Index: 471; Strategy: True; AccPayOffs: 1
players[472]: Index: 472; Strategy: True; AccPayOffs: 2
players[473]: Index: 473; Strategy: True; AccPayOffs: 4
players[474]: Index: 474; Strategy: False; AccPayOffs: 2
players[475]: Index: 475; Strategy: True; AccPayOffs: 3
